timeframe,linreg_n,linreg_mult,stop_mult,filter_mode,trades,total_r,avg_r,profit_factor,win_rate_pct
8h,40,1.5,3.0,ema200_price,3227,68.236,0.0211,1.069,34.1
8h,55,1.5,3.0,ema200_price,2699,-14.839,-0.0055,0.985,31.5
8h,10,2.0,2.0,ema200_price,6238,-51.283,-0.0082,0.969,36.0
8h,15,2.0,2.0,ema200_price,4755,-16.52,-0.0035,0.989,34.9
8h,20,2.0,2.0,ema200_price,4006,27.518,0.0069,1.019,34.6
8h,25,2.0,2.0,ema200_price,3488,12.578,0.0036,1.009,33.1
8h,30,2.0,2.0,ema200_price,3124,101.558,0.0325,1.076,34.4
8h,40,2.0,2.0,ema200_price,2732,40.191,0.0147,1.031,32.8
8h,55,2.0,2.0,ema200_price,2343,-68.86,-0.0294,0.947,28.6
8h,10,2.0,3.0,ema200_price,6218,-33.581,-0.0054,0.97,36.4
8h,15,2.0,3.0,ema200_price,4730,-17.227,-0.0036,0.983,35.4
8h,20,2.0,3.0,ema200_price,3964,19.217,0.0048,1.02,35.5
8h,25,2.0,3.0,ema200_price,3431,7.919,0.0023,1.008,34.1
8h,30,2.0,3.0,ema200_price,3049,90.9,0.0298,1.101,35.9
8h,40,2.0,3.0,ema200_price,2628,39.53,0.015,1.045,34.7
8h,55,2.0,3.0,ema200_price,2193,-13.396,-0.0061,0.985,31.7
8h,10,2.5,2.0,ema200_price,4772,-27.668,-0.0058,0.98,35.8
8h,15,2.5,2.0,ema200_price,3633,-24.966,-0.0069,0.98,35.0
8h,20,2.5,2.0,ema200_price,3054,16.789,0.0055,1.014,33.9
8h,25,2.5,2.0,ema200_price,2693,-18.566,-0.0069,0.984,32.2
8h,30,2.5,2.0,ema200_price,2401,78.336,0.0326,1.07,33.3
8h,40,2.5,2.0,ema200_price,2131,21.591,0.0101,1.019,31.7
8h,55,2.5,2.0,ema200_price,1846,-96.513,-0.0523,0.911,27.2
8h,10,2.5,3.0,ema200_price,4759,-17.869,-0.0038,0.981,36.2
8h,15,2.5,3.0,ema200_price,3615,-26.034,-0.0072,0.97,35.5
8h,20,2.5,3.0,ema200_price,3025,5.871,0.0019,1.007,34.9
8h,25,2.5,3.0,ema200_price,2651,-12.795,-0.0048,0.984,33.6
8h,30,2.5,3.0,ema200_price,2348,63.035,0.0268,1.082,35.0
8h,40,2.5,3.0,ema200_price,2053,25.35,0.0123,1.033,34.3
