variant,time,event,open_positions,open_risk_amount,equity,portfolio_heat_pct,reserved_margin,cash
T5_1D_LONG_max10,2026-01-20 00:00:00+00:00,exit,0,0.0,11393.799163430293,0.0,0.0,11393.799163430293
T5_1D_LONG_max10,2026-03-13 00:00:00+00:00,entry,1,28.484497908575733,11393.799163430293,0.25,902.8003364912424,10490.99882693905
T5_1D_LONG_max10,2026-03-15 00:00:00+00:00,entry,2,56.968995817151466,11393.799163430293,0.5,1100.792583357518,10293.006580072775
T5_1D_LONG_max10,2026-03-30 00:00:00+00:00,entry,3,85.4534937257272,11393.799163430293,0.7500000000000001,1361.6575085803079,10032.141654849986
T5_1D_LONG_max10,2026-04-05 00:00:00+00:00,exit,2,56.968995817151466,11364.744975563546,0.5012782595618828,1100.792583357518,10263.952392206029
T5_1D_LONG_max10,2026-04-07 00:00:00+00:00,entry,3,85.38085825606034,11364.744975563546,0.7512782595618829,1305.292056486576,10059.45291907697
T5_1D_LONG_max10,2026-04-10 00:00:00+00:00,exit,2,56.8963603474846,11346.47491865938,0.5014452572747332,1107.2998096203005,10239.175109039079
T5_1D_LONG_max10,2026-04-10 00:00:00+00:00,entry,3,85.26254764413305,11346.47491865938,0.7514452572747332,1343.9310021639753,10002.543916495404
T5_1D_LONG_max10,2026-04-13 00:00:00+00:00,exit,2,56.8963603474846,11317.541407616798,0.5027272116644776,1107.2998096203005,10210.241597996497
T5_1D_LONG_max10,2026-04-19 00:00:00+00:00,exit,1,28.484497908575733,11304.624661126452,0.25197208012156497,902.8003364912424,10401.82432463521
T5_1D_LONG_max10,2026-04-20 00:00:00+00:00,entry,2,56.74605956139186,11304.624661126452,0.5019720801215649,1119.1066573418698,10185.518003784582
T5_1D_LONG_max10,2026-04-22 00:00:00+00:00,entry,3,85.007621214208,11304.62466112645,0.7519720801215651,1288.0502634723352,10016.574397654116
T5_1D_LONG_max10,2026-04-24 00:00:00+00:00,exit,2,56.52312330563226,11395.508671629379,0.49601228812500514,385.2499269810928,11010.258744648287
T5_1D_LONG_max10,2026-04-24 00:00:00+00:00,exit,1,28.26156165281613,11434.726436199577,0.24715555558327013,216.3063208506274,11218.420115348948
T5_1D_LONG_max10,2026-04-30 00:00:00+00:00,exit,0,0.0,11405.899643313704,0.0,0.0,11405.899643313704
T5_1D_LONG_max10,2026-05-02 00:00:00+00:00,entry,1,28.51474910828426,11405.899643313704,0.25,313.5529882788343,11092.34665503487
T5_1D_LONG_max10,2026-05-03 00:00:00+00:00,entry,2,57.02949821656852,11405.899643313704,0.5,1185.3684464992118,10220.531196814492
T5_1D_LONG_max10,2026-05-03 00:00:00+00:00,entry,3,85.54424732485278,11405.899643313704,0.75,1408.1442563441726,9997.755386969531
T5_1D_LONG_max10,2026-05-04 00:00:00+00:00,entry,4,114.05899643313704,11405.899643313704,1.0,1644.296674033932,9761.602969279771
T5_1D_LONG_max10,2026-05-05 00:00:00+00:00,entry,5,142.5737455414213,11405.899643313704,1.25,1821.530588750078,9584.369054563625
T5_1D_LONG_max10,2026-05-05 00:00:00+00:00,entry,6,171.08849464970555,11405.899643313704,1.5,2136.2523430437745,9269.64730026993
T5_1D_LONG_max10,2026-05-06 00:00:00+00:00,exit,5,142.5737455414213,11376.814599223255,1.253195648904707,1959.0184283276285,9417.796170895626
T5_1D_LONG_max10,2026-05-10 00:00:00+00:00,exit,4,114.05899643313704,11437.765220935942,0.9972140031722359,1644.296674033932,9793.46854690201
T5_1D_LONG_max10,2026-05-13 00:00:00+00:00,entry,5,142.65340948547689,11437.765220935942,1.2472140031722359,1854.6352378426693,9583.129983093273
T5_1D_LONG_max10,2026-05-16 00:00:00+00:00,exit,4,114.13866037719264,11422.555169706611,0.9992393005016608,1541.082249563835,9881.472920142776
T5_1D_LONG_max10,2026-05-16 00:00:00+00:00,exit,3,85.62391126890837,11393.47012561616,0.7515174071189994,1304.9298318740755,10088.540293742086
T5_1D_LONG_max10,2026-05-17 00:00:00+00:00,exit,2,57.02949821656852,11364.303824302775,0.5018301085422398,1094.5912680653385,10269.712556237437
T5_1D_LONG_max10,2026-05-20 00:00:00+00:00,entry,3,85.44025777732546,11364.303824302775,0.7518301085422398,1222.5078719116902,10141.795952391085
T5_1D_LONG_max10,2026-05-20 00:00:00+00:00,entry,4,113.85101733808239,11364.303824302777,1.0018301085422394,1449.052798148335,9915.251026154441
T5_1D_LONG_max10,2026-05-23 00:00:00+00:00,exit,3,85.44025777732546,11335.324849550805,0.7537521765925507,1321.1361943019829,10014.188655248821
T5_1D_LONG_max10,2026-05-25 00:00:00+00:00,entry,4,113.77856990120247,11335.324849550805,1.0037521765925506,1484.7732491587135,9850.551600392091
T5_1D_LONG_max10,2026-05-25 00:00:00+00:00,entry,5,142.1168820250795,11335.324849550805,1.2537521765925506,1692.859760085626,9642.465089465179
