variant,trade_id,symbol,side,cluster,beta_bucket,entry_time,entry_price,initial_stop,final_stop,net_r,risk_amount,max_same_side,max_per_cluster,max_beta_cluster,equity_before_entry,heat_before_entry_pct,exit_time,pnl_usdt,equity_after_exit,drawdown_pct,open_after_exit
ACT4_ATR3,10203,BABY/USDT,SHORT,ALT_OTHER,OTHER_BETA,2025-09-28 00:00:00+00:00,0.04645,0.0507957142857142,0.0507957142857142,-1.0,25.0,5,2,5,10000.0,0.25,2025-10-01 06:00:00+00:00,-25.0,10002.024206139507,-0.7455515918805742,4
ACT4_ATR3,4597,ACE/USDT,SHORT,GAMING,HIGH_CRYPTO_BETA,2025-09-30 12:00:00+00:00,0.439,0.4652857142857143,0.4652857142857143,-1.0,25.13038648155265,5,2,5,10052.15459262106,0.4987029001558695,2025-10-01 06:00:00+00:00,-25.13038648155265,9976.893819657955,-0.9949313771222761,3
ACT4_ATR3,8023,ARKM/USDT,SHORT,AI,HIGH_CRYPTO_BETA,2025-09-30 12:00:00+00:00,0.493,0.5207142857142857,0.5207142857142857,-1.0,25.13038648155265,5,2,5,10052.15459262106,0.7487029001558694,2025-10-01 06:00:00+00:00,-25.13038648155265,9951.763433176402,-1.244311162363978,2
ACT4_ATR3,2579,NEAR/USDT,SHORT,L1_L2,HIGH_CRYPTO_BETA,2025-09-30 12:00:00+00:00,2.573,2.726857142857143,2.726857142857143,-1.0,25.13038648155265,5,2,5,10052.15459262106,0.9987029001558696,2025-10-01 06:00:00+00:00,-25.13038648155265,9926.63304669485,-1.4936909476056799,1
ACT4_ATR3,6420,ALICE/USDT,SHORT,ALT_OTHER,OTHER_BETA,2025-10-01 00:00:00+00:00,0.288,0.3088571428571428,0.3088571428571428,-1.0,25.06756051534877,5,2,5,10027.024206139507,1.0012059149432275,2025-10-01 18:00:00+00:00,-25.06756051534877,9901.565486179501,-1.7424472833842728,1
ACT4_ATR3,3923,1INCH/USDT,LONG,DEFI,HIGH_CRYPTO_BETA,2025-10-02 00:00:00+00:00,0.2667,0.2481142857142857,0.2481142857142857,-1.0,24.753913715448753,5,2,5,9901.565486179501,0.7506329191214849,2025-10-09 06:00:00+00:00,-24.753913715448753,9876.811572464052,-1.9880911651758144,4
ACT4_ATR3,561,BNB/USDT,LONG,EXCHANGE,OTHER_BETA,2025-10-02 06:00:00+00:00,1047.81,1011.7242857142857,1237.6442857142856,5.260649247822643,24.753913715448753,5,2,5,9901.565486179501,1.0006329191214847,2025-10-09 12:00:00+00:00,130.2216575678421,10007.033230031893,-0.6958448631969273,4
ACT4_ATR3,6422,ALICE/USDT,LONG,ALT_OTHER,OTHER_BETA,2025-10-09 12:00:00+00:00,0.5883,0.5208857142857144,0.5208857142857144,-1.0,25.017583075079735,5,2,5,10007.033230031893,0.9894684738493587,2025-10-09 18:00:00+00:00,-25.017583075079735,9982.015646956814,-0.944105251038933,4
ACT4_ATR3,322,ETH/USDT,LONG,L1_L2,HIGH_CRYPTO_BETA,2025-10-01 18:00:00+00:00,4348.03,4170.617142857142,4170.617142857142,-1.0,24.753913715448753,5,2,5,9901.565486179501,0.25063291912148483,2025-10-10 12:00:00+00:00,-24.753913715448753,9957.261733241365,-1.189749132830475,3
ACT4_ATR3,121,BTC/USDT,LONG,BTC_BETA,HIGH_CRYPTO_BETA,2025-10-01 06:00:00+00:00,116789.58,114366.69142857144,114366.69142857144,-1.0,24.816582616737122,5,2,5,9926.63304669485,0.2525283285624748,2025-10-10 18:00:00+00:00,-24.816582616737122,9932.445150624628,-1.4360149054614586,4
