entry_day,day_name,hold_bars,side,filter_mode,trades,avg_r,total_r,win_rate,asset_coverage,n_yr_pass,n_yr_counted,yr_2022,yr_2023,yr_2024,yr_2025,pass_cost_floor,zone_pass_rate,stability_zone_pass,stability_pass
4,Fri,2,SHORT,ema200_price,4740,-0.07205650461709594,-341.5478318850347,0.45042194092827004,0.1746031746031746,0,2,,,False,False,False,0.0,False,False
4,Fri,2,SHORT,none,6319,-0.05689420028245985,-359.5144515848638,0.46035765152714037,0.2222222222222222,0,2,,,False,False,False,0.0,False,False
4,Fri,3,LONG,ema200_price,1579,0.078068416235587,123.27002923599186,0.5123495883470551,0.5576923076923077,1,2,,,True,False,False,0.0,False,False
4,Fri,3,LONG,none,6319,-0.005002273174504107,-31.609364189691455,0.48330432030384557,0.4603174603174603,1,2,,,True,False,False,0.0,False,False
4,Fri,3,SHORT,ema200_price,4740,0.03267497751596695,154.87939342568336,0.5198312236286919,0.6984126984126984,1,2,,,False,True,False,0.0,False,False
4,Fri,3,SHORT,none,6319,0.005002273174504107,31.609364189691455,0.5106820699477765,0.5396825396825397,1,2,,,False,True,False,0.0,False,False
4,Fri,4,LONG,ema200_price,1579,0.019665024754206884,31.051074086892672,0.4654844838505383,0.36538461538461536,1,2,,,True,False,False,0.0,False,False
4,Fri,4,LONG,none,6319,-0.011737774347590203,-74.17099610242249,0.465421743946827,0.3968253968253968,1,2,,,True,False,False,0.0,False,False
4,Fri,4,SHORT,ema200_price,4740,0.022198748985087582,105.22207018931513,0.529957805907173,0.5873015873015873,1,2,,,False,True,False,0.0,False,False
4,Fri,4,SHORT,none,6319,0.011737774347590203,74.17099610242249,0.530780186738408,0.6031746031746031,1,2,,,False,True,False,0.0,False,False
4,Fri,5,LONG,ema200_price,1579,-0.06696348654658218,-105.73534525705327,0.4376187460417986,0.23076923076923078,0,2,,,False,False,False,0.0,False,False
4,Fri,5,LONG,none,6319,-0.04328724242413717,-273.5320848781228,0.45212850134514954,0.2698412698412698,1,2,,,True,False,False,0.0,False,False
4,Fri,5,SHORT,ema200_price,4740,0.03540015603820032,167.79673962106952,0.540506329113924,0.6507936507936508,1,2,,,False,True,False,0.0,False,False
4,Fri,5,SHORT,none,6319,0.04328724242413717,273.5320848781228,0.5459724639974679,0.7301587301587301,1,2,,,False,True,False,0.0,False,False
5,Sat,1,LONG,ema200_price,1601,0.030764719849874875,49.254316479649674,0.5028107432854466,0.5660377358490566,1,2,,,True,False,False,0.0,False,False
5,Sat,1,LONG,none,6322,0.04154677969643679,262.6587412408734,0.51281240113888,0.7619047619047619,2,2,,,True,True,False,0.0,False,False
5,Sat,1,SHORT,ema200_price,4721,-0.04520322490176311,-213.40442476122365,0.4710866341876721,0.20634920634920634,0,2,,,False,False,False,0.0,False,False
