pool,entry_date,exit_date,symbol,system,entry_price,exit_price,bars_held,net_r,pnl_usdt,exit_reason,regime,risk_pct
B,2024-07-05,2024-07-26,PEPE_USDT,ConsecDownDays,8.89e-06,1.202e-05,20,1.3947,12.3512,time_exit,MIXED,0.25
B,2024-08-02,2024-08-05,SOL_USDT,ConsecDownDays,152.77,128.96285714,2,-1.0,-8.887,stop,BEAR,0.25
B,2024-08-03,2024-08-05,PEPE_USDT,ConsecDownDays,8.62e-06,6.54e-06,1,-1.0,-8.887,stop,BEAR,0.25
B,2024-08-02,2024-08-23,TRX_USDT,ConsecDownDays,0.1236,0.1583,20,5.2485,46.6434,time_exit,MIXED,0.25
B,2024-08-22,2024-08-27,ZEC_USDT,ConsecDownDays,41.43,35.92428571,4,-1.0,-8.8426,stop,BEAR,0.25
B,2024-08-29,2024-09-04,ZEC_USDT,ConsecDownDays,33.24,28.17285714,5,-1.0,-8.9371,stop,BEAR,0.25
B,2024-09-04,2024-09-25,TRX_USDT,ConsecDownDays,0.15,0.15,20,0.0,0.0,time_exit,MIXED,0.25
B,2024-10-02,2024-10-23,AAVE_USDT,ConsecDownDays,139.14,149.61,20,0.4796,4.2756,time_exit,MIXED,0.25
B,2024-10-02,2024-10-23,BNB_USDT,ConsecDownDays,542.5,584.9,20,0.8791,7.8374,time_exit,MIXED,0.25
B,2024-10-03,2024-10-24,PEPE_USDT,ConsecDownDays,8.64e-06,1e-05,20,0.6437,5.7382,time_exit,MIXED,0.25
B,2024-10-17,2024-11-01,TAO_USDT,ConsecDownDays,578.3,454.08571429,14,-1.0,-8.9147,stop,MIXED,0.25
B,2024-10-25,2024-11-15,AAVE_USDT,ConsecDownDays,138.1,164.4,20,1.5079,13.5099,time_exit,BULL,0.25
B,2024-11-03,2024-11-24,APT_USDT,ConsecDownDays,8.19,12.52,20,2.7935,24.9662,time_exit,BULL,0.25
B,2024-11-03,2024-11-24,BNB_USDT,ConsecDownDays,557.7,659.65,20,2.7459,24.54,time_exit,BULL,0.25
B,2024-11-03,2024-11-24,BTC_USDT,ConsecDownDays,68775.99,97900.04,20,6.6202,59.1648,time_exit,BULL,0.25
B,2024-11-04,2024-11-25,TRX_USDT,ConsecDownDays,0.1629,0.1959,20,5.6757,50.724,time_exit,BULL,0.25
B,2024-11-13,2024-12-04,ZEC_USDT,ConsecDownDays,38.67,69.6,20,4.3397,38.7847,time_exit,BULL,0.25
B,2024-11-20,2024-12-11,PEPE_USDT,ConsecDownDays,1.876e-05,2.512e-05,20,0.9949,8.9247,time_exit,BULL,0.25
B,2024-12-10,2024-12-31,DASH_USDT,ConsecDownDays,45.57,37.91,20,-0.4896,-4.6346,time_exit,BULL,0.25
B,2024-12-21,2025-01-11,EIGEN_USDT,ConsecDownDays,3.768,3.102,20,-0.4419,-4.193,time_exit,MIXED,0.25
B,2024-12-21,2025-01-11,TRX_USDT,ConsecDownDays,0.2449,0.241,20,-0.0718,-0.6817,time_exit,MIXED,0.25
B,2025-01-09,2025-01-27,UNI_USDT,ConsecDownDays,12.867,10.956,17,-1.0,-9.477,stop,MIXED,0.25
B,2025-01-09,2025-01-30,AAVE_USDT,ConsecDownDays,281.13,315.44,20,0.6221,5.8957,time_exit,MIXED,0.25
B,2025-01-20,2025-02-02,ZEN_USDT,ConsecDownDays,22.3,14.83571429,12,-1.0,-9.4648,stop,MIXED,0.25
B,2025-01-27,2025-02-02,UNI_USDT,ConsecDownDays,11.006,8.88642857,5,-1.0,-9.4412,stop,MIXED,0.25
B,2025-01-26,2025-02-03,PHA_USDT,ConsecDownDays,0.2095,0.12492857,7,-1.0,-9.4648,stop,MIXED,0.25
B,2025-01-26,2025-02-03,SUI_USDT,ConsecDownDays,3.87,3.04868571,7,-1.0,-9.4648,stop,MIXED,0.25
B,2025-01-28,2025-02-03,LINK_USDT,ConsecDownDays,22.61,17.75428571,5,-1.0,-9.4412,stop,MIXED,0.25
B,2025-02-04,2025-02-25,LTC_USDT,ConsecDownDays,101.07,114.55,20,0.5509,5.1445,time_exit,MIXED,0.25
B,2025-02-08,2025-02-25,BTC_USDT,ConsecDownDays,96444.74,87889.91,16,-1.0,-9.3377,stop,MIXED,0.25
B,2025-03-29,2025-04-06,XRP_USDT,ConsecDownDays,2.1351,1.871,7,-1.0,-9.3272,stop,BEAR,0.25
