symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,month
HBAR/USDT,2024-11-13 00:00:00+00:00,2024-11-20 00:00:00+00:00,0.057779658932872686,0.11953144247570974,0.0512169303958542,0.006562728537018488,chandelier_stop,8,9.40946790569087,0.0,15.213236461626641,2024-11
DEXE/USDT,2024-11-12 00:00:00+00:00,2024-11-22 00:00:00+00:00,9.01837831343266,8.173404820893937,8.173404820893937,0.8449734925387229,initial_stop,11,-0.9999999999999992,-1.008763376554794,0.8587508282504931,2024-11
CELR/USDT,2024-11-19 00:00:00+00:00,2024-11-25 00:00:00+00:00,0.014662632118924742,0.018971023140158038,0.012443689070322672,0.0022189430486020704,chandelier_stop,7,1.9416410997783715,-0.47438446858196615,4.208025026580913,2024-11
ADA/USDT,2024-11-17 00:00:00+00:00,2024-11-26 00:00:00+00:00,0.6940993977437008,0.9130011242266032,0.586894579693307,0.10720481805039375,chandelier_stop,10,2.0419019449294087,0.0,4.291790337632211,2024-11
TRX/USDT,2024-11-24 00:00:00+00:00,2024-11-26 00:00:00+00:00,0.205020504413342,0.18998453972007784,0.18998453972007784,0.015035964693264153,initial_stop,3,-1.0,-1.245048441868745,0.48413891194617414,2024-11
HBAR/USDT,2024-11-30 00:00:00+00:00,2024-12-04 00:00:00+00:00,0.16687965258014614,0.2942161199858735,0.1339168732213153,0.032962779358830865,chandelier_stop,5,3.8630379440868774,-0.0815966563640384,6.835599175877431,2024-12
VET/USDT,2024-11-12 00:00:00+00:00,2024-12-06 00:00:00+00:00,0.02622358796226751,0.06219542399222959,0.023532291660407573,0.002691296301859935,chandelier_stop,25,13.36598872636291,-0.9748417372157672,19.98160217459817,2024-12
QTUM/USDT,2024-11-12 00:00:00+00:00,2024-12-06 00:00:00+00:00,2.7261618397604273,4.536156564025276,2.4634565578438457,0.2627052819165817,chandelier_stop,25,6.889829968624639,-0.8913480461911001,11.479929669618173,2024-12
ZRX/USDT,2024-11-12 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.37058570872234525,0.6835711362106596,0.32487137850110687,0.04571433022123838,chandelier_stop,28,6.8465495605774995,-0.8374990629209338,11.84342609106235,2024-12
ARDR/USDT,2024-11-26 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.11036748888571281,0.10856,0.09410739997141528,0.01626008891429753,midline_exit,14,-0.11116107022781874,-0.47093770065301227,1.809492633734365,2024-12
