scenario,trade_id,symbol,side,entry_time,entry_price,exit_price,initial_stop,final_stop,initial_risk_per_unit,net_r,bars_held,max_favorable_r,chandelier_active,risk_amount,equity_before_entry,heat_before_entry_pct,heat_after_entry_pct,same_side_before_entry,open_positions_before_entry,exit_time,realized_r,pnl_usdt,equity_after_exit,peak_equity,drawdown_pct,open_positions_after_exit
SAME_SIDE_CAP4,197,ADX/USDT,LONG,2025-11-08 06:00:00+00:00,0.1414,0.1268142857142857,0.1268142857142857,0.1268142857142857,0.0145857142857142,-1.0,22,1.981390793339864,False,25.448014022092302,10179.20560883692,0.7506224090045936,1.0006224090045936,2,3,2025-11-13 18:00:00+00:00,-1.0,-25.448014022092302,10160.273270007745,10316.297888132392,-1.5124090038552909,4
SAME_SIDE_CAP4,207,ALCX/USDT,LONG,2025-11-13 12:00:00+00:00,16.37,13.007142857142858,13.007142857142858,13.007142857142858,3.362857142857143,-1.0,1,0.1754460492778249,False,25.464303210074597,10185.721284029838,0.7496927192166106,0.9996927192166107,1,3,2025-11-13 18:00:00+00:00,-1.0,-25.464303210074597,10134.808966797671,10316.297888132392,-1.7592446757814324,3
SAME_SIDE_CAP4,222,ARDR/USDT,SHORT,2025-11-13 18:00:00+00:00,0.06013,0.0659414285714285,0.0659414285714285,0.0659414285714285,0.0058114285714285,-1.0,1,0.4336283185840715,False,25.337022416994177,10134.808966797671,0.7536195334738908,1.0036195334738909,3,3,2025-11-14 00:00:00+00:00,-1.0,-25.337022416994177,10109.471944380677,10316.297888132392,-2.0048465640919764,3
SAME_SIDE_CAP4,208,AUDIO/USDT,SHORT,2025-11-13 12:00:00+00:00,0.0363,0.0404999999999999,0.0404999999999999,0.0404999999999999,0.0041999999999999,-1.0,4,0.5238095238095245,False,25.464303210074597,10185.721284029838,0.9996927192166105,1.2496927192166105,2,4,2025-11-14 12:00:00+00:00,-1.0,-25.464303210074597,10084.007641170603,10316.297888132392,-2.2516822360181177,3
SAME_SIDE_CAP4,205,AWE/USDT,SHORT,2025-11-12 18:00:00+00:00,0.06152,0.0660299999999999,0.0660299999999999,0.0660299999999999,0.0045099999999999,-1.0,14,1.8093126385809344,False,25.59242523593533,10236.970094374132,0.9965643645915632,1.2465643645915632,2,4,2025-11-16 06:00:00+00:00,-1.0,-25.59242523593533,10058.415215934669,10316.297888132392,-2.4997598459655332,2
SAME_SIDE_CAP4,232,ASTER/USDT,LONG,2025-11-16 18:00:00+00:00,1.281,1.142285714285714,1.142285714285714,1.142285714285714,0.1387142857142858,-1.0,4,0.1585993820803296,False,25.14603803983667,10058.415215934669,1.0030101699205995,1.2530101699205995,0,4,2025-11-17 18:00:00+00:00,-1.0,-25.14603803983667,10033.269177894832,10316.297888132392,-2.7435104463506192,4
SAME_SIDE_CAP4,237,ASTER/USDT,LONG,2025-11-18 06:00:00+00:00,1.351,1.1952857142857145,1.1952857142857145,1.1952857142857145,0.1557142857142857,-1.0,9,0.3596330275229361,False,25.08317294473708,10033.269177894832,1.0055239798702753,1.2555239798702753,0,4,2025-11-20 12:00:00+00:00,-1.0,-25.08317294473708,10008.186004950096,10316.297888132392,-2.9866516702347354,4
SAME_SIDE_CAP4,241,ACT/USDT,LONG,2025-11-20 12:00:00+00:00,0.0233,0.0196,0.0196,0.0196,0.0036999999999999,-1.0,3,0.5405405405405403,False,25.02046501237524,10008.186004950096,1.0080440900955139,1.2580440900955139,0,4,2025-11-21 06:00:00+00:00,-1.0,-25.02046501237524,9983.16553993772,10316.297888132392,-3.2291850410591563,4
SAME_SIDE_CAP4,149,AXL/USDT,SHORT,2025-10-28 06:00:00+00:00,0.1842,0.13355,0.1996428571428571,0.13355,0.0154428571428571,3.2798334875115627,113,4.144310823311748,True,25.32117160804072,10128.468643216289,0.7504029978589429,1.0004029978589428,2,3,2025-11-25 12:00:00+00:00,3.2798334875115627,83.04922658307896,10066.2147665208,10316.297888132392,-2.4241556837873235,4
SAME_SIDE_CAP4,250,1INCH/USDT,LONG,2025-11-27 12:00:00+00:00,0.2063,0.1923,0.1923,0.1923,0.0139999999999999,-1.0,4,0.3928571428571416,False,25.165536916302,10066.2147665208,0.9986243302179563,1.2486243302179563,1,4,2025-11-28 12:00:00+00:00,-1.0,-25.165536916302,10041.049229604498,10316.297888132392,-2.6680952945778533,4
SAME_SIDE_CAP4,226,ARK/USDT,SHORT,2025-11-16 12:00:00+00:00,0.2829,0.3045857142857142,0.3045857142857142,0.3045857142857142,0.0216857142857142,-1.0,51,1.706192358366273,False,25.14603803983667,10058.415215934669,0.5030101699205995,0.7530101699205995,2,2,2025-11-29 06:00:00+00:00,-1.0,-25.14603803983667,10015.903191564661,10316.297888132392,-2.911845894962939,4
SAME_SIDE_CAP4,255,ANIME/USDT,SHORT,2025-11-29 12:00:00+00:00,0.00622,0.0065457142857142,0.0065457142857142,0.0065457142857142,0.0003257142857142,-1.0,11,1.688596491228069,False,25.039757978911652,10015.903191564661,1.0032071287317137,1.2532071287317137,3,4,2025-12-02 06:00:00+00:00,-1.0,-25.039757978911652,9990.86343358575,10316.297888132392,-3.15456628022553,4
SAME_SIDE_CAP4,273,1000CHEEMS/USDT,LONG,2025-12-03 00:00:00+00:00,0.001302,0.0012217142857142,0.0012217142857142,0.0012217142857142,8.028571428571438e-05,-1.0,4,0.4608540925266889,False,24.977158583964375,9990.86343358575,1.0057214323124948,1.255721432312495,1,4,2025-12-04 00:00:00+00:00,-1.0,-24.977158583964375,9965.886275001785,10316.297888132392,-3.396679864524966,4
