symbol,entry_time,exit_time,net_r,win,bars_held,exit_reason,year
LPT_USDT,2023-08-06 16:00:00,2023-08-07 00:00:00,-1.0,0,2,atr_stop,2023
BCH_USDT,2023-08-27 20:00:00,2023-08-29 12:00:00,-1.0,0,10,atr_stop,2023
BTC_USDT,2023-08-29 12:00:00,2023-08-29 16:00:00,-1.0,0,1,atr_stop,2023
LTC_USDT,2023-08-29 12:00:00,2023-09-01 00:00:00,2.3225,1,15,time_exit,2023
DOGE_USDT,2023-08-29 12:00:00,2023-09-01 00:00:00,1.5408,1,15,time_exit,2023
ZEN_USDT,2023-08-29 12:00:00,2023-08-29 20:00:00,-1.0,0,2,atr_stop,2023
DOT_USDT,2023-08-29 12:00:00,2023-09-01 00:00:00,3.5778,1,15,time_exit,2023
ETH_USDT,2023-08-29 12:00:00,2023-09-01 00:00:00,1.7858,1,15,time_exit,2023
BNB_USDT,2023-08-29 12:00:00,2023-09-01 00:00:00,2.1671,1,15,time_exit,2023
AVAX_USDT,2023-08-29 16:00:00,2023-09-01 04:00:00,2.29,1,15,time_exit,2023
ZEC_USDT,2023-08-29 20:00:00,2023-09-01 08:00:00,1.5624,1,15,time_exit,2023
SOL_USDT,2023-08-29 20:00:00,2023-09-01 08:00:00,2.1897,1,15,time_exit,2023
LINK_USDT,2023-09-07 00:00:00,2023-09-09 12:00:00,0.9685,1,15,time_exit,2023
HBAR_USDT,2023-09-14 00:00:00,2023-09-16 12:00:00,0.6563,1,15,time_exit,2023
ATOM_USDT,2023-09-14 20:00:00,2023-09-16 00:00:00,-1.0,0,7,atr_stop,2023
LTC_USDT,2023-09-15 12:00:00,2023-09-15 20:00:00,-1.0,0,2,atr_stop,2023
GRT_USDT,2023-09-15 16:00:00,2023-09-18 04:00:00,0.4807,1,15,time_exit,2023
FIL_USDT,2023-09-15 20:00:00,2023-09-18 08:00:00,0.9077,1,15,time_exit,2023
LTC_USDT,2023-09-16 00:00:00,2023-09-18 12:00:00,-0.4183,0,15,time_exit,2023
CHZ_USDT,2023-09-16 00:00:00,2023-09-16 16:00:00,-1.0,0,4,atr_stop,2023
DOT_USDT,2023-09-16 00:00:00,2023-09-18 12:00:00,0.0761,1,15,time_exit,2023
ZEN_USDT,2023-09-16 00:00:00,2023-09-18 12:00:00,-1.0,0,15,atr_stop,2023
ATOM_USDT,2023-09-16 04:00:00,2023-09-16 08:00:00,-1.0,0,1,atr_stop,2023
ATOM_USDT,2023-09-16 12:00:00,2023-09-18 08:00:00,-1.0,0,11,atr_stop,2023
CHZ_USDT,2023-09-16 20:00:00,2023-09-19 08:00:00,2.7176,1,15,time_exit,2023
BNB_USDT,2023-09-18 00:00:00,2023-09-18 12:00:00,-1.0,0,3,atr_stop,2023
SOL_USDT,2023-09-18 12:00:00,2023-09-21 00:00:00,-0.3058,0,15,time_exit,2023
APT_USDT,2023-09-25 00:00:00,2023-09-25 08:00:00,-1.0,0,2,atr_stop,2023
UNI_USDT,2023-09-27 08:00:00,2023-09-28 16:00:00,-1.0,0,8,atr_stop,2023
ICP_USDT,2023-09-29 00:00:00,2023-09-29 16:00:00,-1.0,0,4,atr_stop,2023
