symbol,entry_time,exit_time,net_r,mae_r,mfe_r,exit_reason,partial_done,month
SC/USDT,2023-02-07 00:00:00+00:00,2023-02-13 00:00:00+00:00,-0.9999999999999998,-1.4432470378330189,4.739552000784974,initial_stop,False,2023-02
MTL/USDT,2023-02-04 00:00:00+00:00,2023-02-20 00:00:00+00:00,5.285750507086714,-0.9576028480243908,9.086262138124562,chandelier_stop,False,2023-02
DUSK/USDT,2023-02-15 00:00:00+00:00,2023-02-20 00:00:00+00:00,-0.9999999999999999,-1.1119522098019488,0.3035596537144781,initial_stop,False,2023-02
IOST/USDT,2023-02-20 00:00:00+00:00,2023-02-21 00:00:00+00:00,-0.9999999999999999,-1.3222253497634648,0.36883128177612495,initial_stop,False,2023-02
HBAR/USDT,2023-02-11 00:00:00+00:00,2023-02-24 00:00:00+00:00,-1.0000000000000002,-1.0319210146438922,0.8349895232996377,initial_stop,False,2023-02
BTC/USDT,2023-02-15 00:00:00+00:00,2023-02-24 00:00:00+00:00,-1.0000000000000002,-1.0669482397128167,0.6662400513616141,initial_stop,False,2023-02
ARDR/USDT,2023-02-24 00:00:00+00:00,2023-03-02 00:00:00+00:00,-1.0,-1.0622732441226344,0.24876019007935082,initial_stop,False,2023-03
CELR/USDT,2023-02-11 00:00:00+00:00,2023-03-03 00:00:00+00:00,-0.7036472948070712,-0.9638640302451574,1.019624759267605,midline_exit,False,2023-03
QTUM/USDT,2023-02-19 00:00:00+00:00,2023-03-03 00:00:00+00:00,-0.3590271562913652,-0.8014412650116916,2.5919444380002394,midline_exit,False,2023-03
VTHO/USDT,2023-02-16 00:00:00+00:00,2023-03-03 00:00:00+00:00,-1.0000000000000002,-1.2301765015836457,1.9115977990294888,initial_stop,False,2023-03
VET/USDT,2023-02-17 00:00:00+00:00,2023-03-03 00:00:00+00:00,-1.0,-1.1989720522101988,1.5545726871176875,initial_stop,False,2023-03
ZRX/USDT,2023-03-01 00:00:00+00:00,2023-03-03 00:00:00+00:00,-0.9999999999999996,-1.3923059893975402,0.1085213623576851,initial_stop,False,2023-03
TRX/USDT,2023-01-14 00:00:00+00:00,2023-03-08 00:00:00+00:00,0.9217690828067873,-0.7737667230321744,2.9340818692159663,midline_exit,False,2023-03
QTUM/USDT,2023-03-19 00:00:00+00:00,2023-03-22 00:00:00+00:00,-1.0000000000000004,-1.2417485233830234,0.5963531613087502,initial_stop,False,2023-03
